example_id,conversation_id,message_id,input_text,context,intent,escalation_expected,escalation_reason,difficulty,annotation_notes
gold_039,854359,854340,"@AmazonHelp you know what would make this right, Jeff Bezos had deliverying my game to me at my apartment tomorrow morning","customer: @AmazonHelp I am annoyed because I've been on your chat and have been assured that it would be delivered Wed(nope), Thurs(Nope), and now today we'll see
customer: @AmazonHelp so i just looked and it's now ""arrived at post office"" which is ridiculous, i should have had this game Wednesday now it may be monday
customer: @AmazonHelp stop using USPS for shipping, they are awful, they don't care about their costumers and aren't beholden to anyone
brand: @322915 I'm sorry for the delay, Tyler! Let's take a look! Have you contacted the carrier yet to investigate? If so, what was advised?^FR",delivery_delay,auto_handle,,easy,src=gold_079
gold_040,1112088,1112088,So @115821 thinks it is right that they deliver my items late and issue no apology tho they messed up? How i gonna get it now? @AmazonHelp,,delivery_delay,auto_handle,,easy,src=gold_098
gold_041,1223715,1223715,"I’m having a Love / Hate relationship with @115821 Prime, they hook me in with the promise of Next Day delivery but in the time I’ve had my account only 1 Prime thing has been delivered Next Day. I’m not really a winner here am I? @117795",,delivery_delay,auto_handle,,easy,src=gold_105
gold_042,1277032,1277031,@AmazonHelp cc @115850,"customer: @AmazonHelp Please update regards my ORDER # 408-5108519-2806747
There is no update from past three days and getting delivery late..",delivery_delay,auto_handle,,easy,src=gold_111
gold_043,1281323,1281327,"@AmazonHelp No reason, but we're sorry ""We’re sorry your package is late. If it hasn’t arrived by Saturday, Oct 28, please come back for more options.""","brand: @419793 I'm sorry you haven't received these orders as anticipated! Have your orders just recently shipped or were they delayed? ^WM
customer: @AmazonHelp Delayed. It's probably #lasership that just sucks. Sorry.
brand: @419793 Does the tracking list any reason for the delay: https://t.co/Y5jpI9gRhE ? ^DD
customer: @419793 @AmazonHelp We're happy to help with any issues! Please email __email__, include tracking # or you can reach us at 804.414.2590, thanks!",delivery_delay,auto_handle,,easy,src=gold_112
gold_044,1560875,1560875,@115830 @AmazonHelp failed again. Express Delivery... “sorry order delayed”. 1 week for next day delivery. Customer Services no idea.,,delivery_delay,auto_handle,,easy,src=gold_133
gold_045,1647819,1647821,@AmazonHelp ARRIVING TODAY! Shipping Today! Still advertised on site as PRIME! The first two aren't true but since the third one would hurt sales......,"customer: @115830 Yet another failure of Amazon Prime ""next day"" delivery failure. It's a simple item. 2 days later, still in stock, not dispatched.
brand: @503436 This isn't what we like to see! Have we missed the delivery date displayed here: https://t.co/aaDyEz1VgE? ^DW
customer: @AmazonHelp You've missed the delivery date (today) and haven't even dispatched the item yet.",delivery_delay,auto_handle,,easy,src=gold_138
gold_046,2219897,2219897,"@115821 , not get idea offer as promised by u.
N mobile hangs, jio sim does not work properly.
Want to return it. https://t.co/IGtHOuoPDs",,delivery_delay,auto_handle,,easy,src=gold_161
gold_047,2286359,2286359,Hey @AmazonHelp where is my one day delivery? I would like to have a refund for one day delivery charges.,,delivery_delay,auto_handle,,easy,src=gold_162
gold_048,2298194,2298194,"@115830 - Hey, I realized something with some of my late orders.... I'm prime member and everytime I'm ordering (always prime things), I have this fee  on my bank statement (Plus the normal price of my order). Please can you explain ? Thanks https://t.co/fRNY7d0Hun",,delivery_delay,auto_handle,,easy,src=gold_168
gold_049,2728972,2728971,"@AmazonHelp Checked what? That the packaging is crushed, yes. It is. The doll is ok, but you can’t give a crushed package ad a gift! I will be returning (though might arrive too late to post) &amp; leaving feedback-thanks","customer: Seriously @115830, who packs a Disney Doll (obviously a gift around Christmas time) in squashable packaging?! WITH NO PACKAGING! When my coat hangers last week came in big box with air bags!!! Thanks https://t.co/kA5UwN9MUU
brand: @765140 I am really sorry to see that, did you check if, if needed, a replacement is available: https://t.co/x9zPNpBdLg ? I would also encourage you to leave the packaging feedback: https://t.co/fxgZ6hTrFA ^MA",delivery_delay,auto_handle,,easy,src=gold_188
gold_050,2841877,2841882,"@AmazonHelp Hang on a second, have you not read the fact that I believe a £5 gift certificate is not enough for you missing a “guaranteed” delivery. It’s simply not enough for spending £400 on a tv on the basis of a promised delivery day but yet you can’t keep that promise!","customer: @AmazonHelp @AmazonHelp it seems the only way to get things sorted properly with oi is to go through social media, customer support was no help at all.
brand: @790725 Have we provided you with a new delivery date? ^RA
customer: @AmazonHelp Tomorrow, but that means I have to stay in yet another day. Yet you said it would be guaranteed by today. You shouldn’t use the word guarantee when you don’t mean it.
brand: @790725 Please keep us updated and let us know if the order doesn't come in by tomorrow. ^VS",delivery_delay,auto_handle,,easy,src=gold_198
gold_051,2877845,2877842,@AmazonHelp I couldn’t even reach anyone by phone since I am an international number and just got told to call back. My issue now lies with your CS REPS,"customer: @115830 @115821 has the worst customer service. Is talking to ten different representatives about the same issue really that efficient? NO
customer: @115830 @115821 And especially when they all contradict each other. At this point I’m just done with Amazon and their website 🙄
brand: @410562 I'm so sorry we weren't able to resolve your issue over the phone. We'd like to help if we can. Without including personal information, can you tell us more about what's going on? Is this related to the seller issue you mentioned previously? ^JN",delivery_delay,auto_handle,,easy,src=gold_202
gold_052,2880527,2880526,@AmazonHelp I ordered a prime item on Monday early afternoon. It says next day delivery. The email I go said next day delivery but underneath said Wednesday.,"customer: @115830 I have not been getting my orders next day delivery. Why, I am a prime customer.
brand: @297200 What was the delivery date provided during Checkout, and in the confirmation email? ^MI",delivery_delay,auto_handle,,easy,src=gold_203
gold_053,134867,134865,@115821 Drama continues.. Even after requesting replacement form days.. Email came for refund. What's going on??? In every mail and tweet I have asked for replacement. Frm where this refund story came now?? What u guys want to prove. @115851 https://t.co/O7XvnEJVi5,"customer: #Amazonsuffers @115821
Almost 2 weeks chasing you all just for a simple replacement. Seems either people out there are dumb or really no one cares wht customer is facing. Wakeup &amp; imagine life without fresh drinking water for 2 weeks. Wht a shame. Hope someone responds. Phew!!! https://t.co/NnEKKNXHj2
brand: @146400 I am sorry for the trouble you are going through. Please share your details here https://t.co/GIJyeYqKE0, we would assist you accordingly. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^MD
customer: @AmazonHelp Revert on the link mentioned... Looking fwd for immediate replacement without further stories. Thx
brand: @146400 Thanks for letting us know. We'll surely look into it and get back to you with an update shortly. Appreciate your patience until then. ^HS",order_quality_issue,escalate,Wants replacement.,hard,src=gold_013
gold_054,265005,265005,l refuse to order through amazon until they stop using their shitty yellow envelopes as literally my past 5 orders have come damaged.,,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_029
gold_055,279900,279900,@115851 is amazon selling fake products on their website? @115821,,order_quality_issue,escalate,Fake products concern.,medium,src=gold_033
gold_056,469399,469411,"@AmazonHelp If they send you a stone instead of a phone, or anything bad happen
@AmazonHelp  @115850  official says , there is no compensation policy, if you don't believe this you can also contact amazon, @AmazonHelp  email me there is no compensation policy in @115850 
#UNINSTALLAMAZON","customer: @AmazonHelp I don't care you give feedback this team or that team , i just want proper solution,
#UNINSTALLAMAZO
brand: @133250 I understand your disappointment. Request you to reply to the latest correspondence from our team for further assistance. Appreciate your cooperation. ^GD
customer: @AmazonHelp Please don't buy anything @115850  because they send  stone instead of a new phone, if you don't trust me just googled it before any purchase
#UNINSTALLAMAZON
customer: @AmazonHelp Please don't Buy anything @115850 , because there is no customer support , if you buy a mobile in Amazon chances or very high they deliver old mobile or some stone, if you want believe just googled  before any purchase ,if you choose @115850 , you will regret soon",order_quality_issue,escalate,Wrong/stone item.,hard,src=gold_056
gold_057,490496,490494,"@115821 @AmazonHelp (3/)
- water damage
- power/sleep button not clicking properly
- screw missing
- two tabs for the back panel missing (indicating it was a cheap part - cheap parts don’t come with tabs)
- frame damage on the bottom right &amp; top left, frame slightly bent

...On a week old iPhone.","customer: So, If you buy an @115821 refurbished phone, I STRONGLY ADVISE AGAINST IT. Here's why, and pay attention, @AmazonHelp: (1/ )
customer: @115821 @AmazonHelp I received my iPhone 6s a week ago. One week ago. It arrived damaged. But here's the thing - I didn't know it was as damaged as it was until I had to get the screen repaired. Now - I cracked the screen. My fault. But - when the repair guy opened it, this is what he found: (2/ )",order_quality_issue,escalate,Damaged refurbished.,medium,src=gold_058
gold_058,972289,972288,"@AmazonHelp Very bad feeling with amazon,alway send used and defective product and never accept to replace product and refund money","brand: @40875 Hence, request you to wait till the estimated delivery date. I’m positive that the package would be delivered to you. 2/2 ^SB",order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_087
gold_059,1001066,1001066,@AmazonHelp order 407-6230086-7878746 counterfeit product. Blacklist vendor.,,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_090
gold_060,1005969,1005980,@AmazonHelp First chat u issued the replacement but didn’t say a word about how to return the defective. said amazon locker needed. ~35’ &amp; 2 agents,"customer: @AmazonHelp This time ur representative is even worse than last time. Thought it would be difficult to beat, but u made it!
customer: @AmazonHelp Amazing how incompetent u are...never stop surprising me
brand: @358096 I'm sorry we've let you down! Without giving sensitive info, can you let us know what's going on so we can look into this? ^HS
customer: @AmazonHelp Two chats today, 9 agents, around 1.5 hours, to replace a defective kindle. What is worse is that I have chatted w/u 2x before, same topic",order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_091
gold_061,1201286,1201286,"@115850  
Stop selling fake products with misleading information and fake reviews. Pathetic experience,can't trust you ever. https://t.co/oIjyuZ3UPN",,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_102
gold_062,1236255,1236255,I guess @115821 hates the @168743 or @52226 as my replacement print is even MORE damaged than the 1st one. https://t.co/f70PlVsa2S,,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_106
gold_063,1273453,1273453,@115850 Ordered a Moto G5 S+ ten days ago but it was never delivered cause it was broken while shipping as per what customer care told me.,,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_110
gold_064,2031092,2031091,"@AmazonHelp Of course, after #amazon destroys 5 Prime books and sends 2 more NOT SEALED, it's YOUR job to take photos &amp; do paperback. Sweet. @115821","customer: Amazon Prime just sent me 5 books, all damaged. My fave is the paperback that was FOLDED IN HALF to fit in a box. Don't you love @115821?
brand: @600584 I'm very sorry for this issue! Have you had a chance to look at our return/replacement options here: https://t.co/SSEH4ohnwy ^HM",order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_151
gold_065,2129479,2129466,"@AmazonHelp Huge fail- Verified Purchase
Like others recently, I received nothing but an empty box with styrofoam. Now I have to wait 72 hours for 1/2","brand: @626838 Oh no! I'm so sorry for the way your order arrived! Please reach us here, so we can look into this. https://t.co/hApLpMlfHN ^AG
customer: @AmazonHelp I actually am talking to CS right now about it. It's not going well. What else can the Twitter team do to help?
customer: @AmazonHelp Here's the product. I'm going to replying with some of the latest comments of customers experiencing the same issue. https://t.co/NCrNVclTMd
customer: @AmazonHelp I RECEIVED AN EMPTY BOX!!! - Verified Purchase
Not sure if Elgato or Amazon is at fault but I received a completely empty box. DO NOT BUY.",order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_153
gold_066,2212113,2212113,"@115850 @AmazonHelp @115821 never takes any action on your request for replacement of product. I have been a victim. It has been more than 22 days since I requested. Their only agenda is selling products, but not care about customers who received damaged product.",,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_160
gold_067,2628796,2628839,"@AmazonHelp No. It all started with shipping the wrong item. Since then it's been dragging out, with one order cancelled and this one delayed after the first fulfillment error.","customer: @AmazonHelp Third order placed for an item. Says it should be here tonight but hasn't shipped yet.
customer: @AmazonHelp And now finally changed the date until Tuesday. Three weeks is not acceptable for a book that should have been here in 2 days!!
brand: @742451 I'm sorry for the long delay! Have you been given a reason for the delivery date change? ^AL
brand: @742451 Thanks for reaching out to us! To better assist you could you let us know when  the order was placed? What was shipping speed selected at checkout and delivery date provided?  ^AZ",order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_183
gold_068,2707636,2707636,"First time I’m very disappointed in @115821 - subscription product every 3
months - wrong item sent. Getting too big for their own good?! $AMZN",,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_185
gold_069,2769031,2769031,"Dear @115830 thank you for delivering another damaged replacement!! And thank you for a customer service agent who Spoke Very Bad English and impossible to understand. 
Do you think this is acceptable as a replacement? Good to see what my Prime membership gets me!! https://t.co/Hs3G4n4BvU",,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_190
gold_070,2790421,2790420,@AmazonHelp The package arrived damaged and the item inside was broke,"customer: I spent a lot of money on Nathan’s neon sign, and fucking @115821 broke it
brand: @778820 That's not what we like to hear at all! Without personal or account details, can you tell us what happened? ^TR",order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_194
gold_071,2971971,2971971,No @118706 has informed @AmazonHelp that my packages have been damaged before they even made an attempt to ship them out,,order_quality_issue,escalate,Quality claims need order-specific evidence review.,medium,src=gold_220
gold_072,273156,273160,"@AmazonHelp Ya lo intente pero no los reconoce, los pedí en .es y me abre el de México ¿eso tiene alguna relación con el problema?","customer: @AmazonHelp Amazon, era para el lunes 2 de Octubre.
brand: @181235 ¿Recibiste confirmación de que fue enviado? SI es así, ¿qué indica la información de seguimiento del paquete? ^AR
customer: @AmazonHelp 2 marcan que el 4 Octubre están en la aduana México y otro marca desde el 13 de Septiembre que está en Rodgua... 😔
brand: @181235 Gracias por la información. Contáctanos desde este enlace para checar esto contigo y ayudarte: https://t.co/vPBloUygsu ^AR",other_unclear,escalate,Spanish.,hard,src=gold_030
gold_073,570122,570122,@116618 how soon will the new @168339 video be up?,,other_unclear,auto_handle,,easy,src=gold_064
